firm,year,industry,quality,opportunity,risk,size_latent,network,firm_age,esg,esg_dgp_z,big4,q,growth,cash,leverage,roa,cfo_assets,investment,true_deviation,investment_lag,esg_lag,esg_dgp_z_lag,big4_lag,esg_lead
0,2015,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,7,70.77273095710339,0.17698904549171257,1,1.5219148393990218,-0.10531601044792047,0.42434370230611285,0.5131248601906605,0.09288386743155463,0.05252800613318887,0.16914679157729431,-0.003449290735032328,0.12,,,,73.728906673896
0,2016,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,8,73.728906673896,0.39534724235941726,0,2.1638221316414574,0.11723585712024454,0.30989359968951546,0.26093407937898583,0.056055530195889186,0.04451725049420342,0.20210408294527638,-0.033528244262901,0.16914679157729431,70.77273095710339,0.17698904549171257,1.0,77.18015271816674
0,2017,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,9,77.18015271816674,0.6502738554470193,0,2.0171637148219146,0.30446827844151086,0.3703815431251567,0.22711120803458126,0.06059251413332756,0.04324720278018261,0.22998465418657849,-0.014011299371427166,0.20210408294527638,73.728906673896,0.39534724235941726,0.0,78.76650871021155
0,2018,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,10,78.76650871021155,0.7674501897378018,0,1.7391356236173257,0.06027687655313298,0.31037194182579675,0.2678918394687587,0.06036848314834731,0.03269408513260376,0.26250122841122364,0.059567380855957926,0.22998465418657849,77.18015271816674,0.6502738554470193,0.0,79.34233470630228
0,2019,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,11,79.34233470630228,0.8099836310016866,0,1.946603550407529,0.16004094406135996,0.30379323141929304,0.3202561456030899,0.10363414378665275,0.06345784574282556,0.2624615584369413,0.029481718279676338,0.26250122841122364,78.76650871021155,0.7674501897378018,0.0,89.11608124493762
0,2020,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,12,89.11608124493762,1.5319223367068797,1,2.184232719363272,0.14702235829901805,0.5388034801713067,0.4494902024087899,0.07419466989840515,0.07145326503583468,0.24475356259572853,-0.012620629128372956,0.2624615584369413,79.34233470630228,0.8099836310016866,0.0,93.69020062717827
0,2021,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,13,93.69020062717827,1.8697900943269716,1,2.4800347573275134,0.12868649910372015,0.24555547054831314,0.4621680330013469,0.07547726920199717,0.03849579453734341,0.30001624002002913,0.04100297443464433,0.24475356259572853,89.11608124493762,1.5319223367068797,1.0,94.15779727909205
0,2022,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,14,94.15779727909205,1.904329164921885,0,2.0375206606071297,0.18828381172892963,0.3153165423230994,0.34058960396584687,0.08002990480018075,0.031488805877483345,0.20290136694108069,-0.03555834587360719,0.30001624002002913,93.69020062717827,1.8697900943269716,1.0,93.83827013477942
0,2023,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,15,93.83827013477942,1.8807272624077498,0,2.1165606735547957,0.03181073091643141,0.31535550007452484,0.2511436590615717,0.0648869115183628,0.06445892343136513,0.21589209681689792,-0.02316043285239565,0.20290136694108069,94.15779727909205,1.904329164921885,0.0,100.0
0,2024,5,0.657891867354967,0.2493556794385042,-1.630386230268472,-1.3666467013146621,1,16,100.0,2.3358640174093264,0,2.1132267091280275,0.24644512826060533,0.2725534693554683,0.24934143150629462,0.05759737609828526,0.04018037188675744,0.267627658591779,0.01830594892032434,0.21589209681689792,93.83827013477942,1.8807272624077498,0.0,
